timestamp,incident_id,category,description,impact_level,resolution_time_hours,root_cause,machine_id,line_id
2026-01-13T19:25:12.125230,INC0059,erreur_operateur,Erreur réglage paramètres,4,9.4,Procédure peu claire,PRESS-02,L2
2026-01-14T05:19:12.125230,INC0058,defaut_qualite,Lot non-conforme détecté,1,3.6,Erreur opérateur,CNC-02,L1
2026-01-14T20:53:12.125230,INC0057,panne_mecanique,Fuite huile hydraulique,3,10.9,Manque de lubrification,CNC-01,L1
2026-01-14T22:40:12.125230,INC0077,panne_electrique,Problème carte électronique,3,4.1,Problème câblage,PRESS-02,L2
2026-01-14T22:49:12.125230,INC0062,probleme_logistique,Rupture stock matière première,3,8.3,Erreur système informatique,PRESS-02,L2
2026-01-15T04:49:12.125230,INC0075,probleme_logistique,Sur-stock encombrant,2,0.6,Défaillance fournisseur,CNC-02,L1
2026-01-15T07:46:12.125230,INC0052,probleme_logistique,Rupture stock matière première,1,1.5,Communication insuffisante,PRESS-02,L2
2026-01-15T18:17:12.125230,INC0049,panne_mecanique,Casse outil usinage,3,10.2,Manque de lubrification,PRESS-02,L2
2026-01-16T01:13:12.125230,INC0016,defaut_qualite,Lot non-conforme détecté,3,8.9,Dérive paramètres process,CNC-01,L1
2026-01-16T20:18:12.125230,INC0033,panne_mecanique,Défaillance roulement broche,4,10.7,Manque de lubrification,CNC-01,L1
2026-01-17T00:54:12.125230,INC0021,panne_electrique,Problème carte électronique,5,36.7,Vieillissement composants,CNC-02,L1
2026-01-17T16:47:12.125230,INC0072,panne_electrique,Surchauffe moteur,3,6.8,Problème câblage,CNC-01,L1
2026-01-17T22:37:12.125230,INC0069,probleme_logistique,Sur-stock encombrant,3,3.9,Erreur système informatique,PRESS-02,L2
2026-01-19T00:55:12.125230,INC0040,panne_electrique,Problème carte électronique,1,2.8,Problème câblage,ASSEMBLY-01,L3
2026-01-19T17:21:12.125230,INC0041,defaut_qualite,Non-conformité client,4,15.5,Matière première non-conforme,CNC-02,L1
2026-01-20T05:37:12.125230,INC0026,defaut_qualite,Dérive dimensionnelle progressive,2,2.4,Erreur opérateur,PRESS-02,L2
2026-01-20T17:14:12.125230,INC0017,panne_mecanique,Fuite huile hydraulique,3,10.6,Défaut de conception,CNC-02,L1
2026-01-21T05:16:12.125230,INC0066,erreur_operateur,Mauvais montage outil,4,15.3,Procédure peu claire,CNC-01,L1
2026-01-21T17:31:12.125230,INC0025,probleme_logistique,Erreur référence fourniture,2,3.4,Mauvaise planification,CNC-01,L1
