timestamp,product_id,defect_type,quantity,severity,description,machine_id,line_id
2026-01-13T16:31:12.123362,PROD7559,sur_controle,3,high,Contrôle redondant qualité,PRESS-02,L2
2026-01-13T17:49:12.123362,PROD3127,rebut,12,medium,Rayure surface critique,CNC-01,L1
2026-01-13T17:54:12.123362,PROD7717,rebut,13,high,Rayure surface critique,PRESS-01,L2
2026-01-13T18:48:12.123362,PROD8737,rebut,13,low,Fissure détectée,CNC-01,L1
2026-01-13T21:30:12.123362,PROD3521,rebut,8,low,Dimension hors tolérance,CNC-01,L1
2026-01-13T22:09:12.123362,PROD4051,rebut,7,medium,Fissure détectée,CNC-01,L1
2026-01-14T07:37:12.123362,PROD1346,non_conformite,13,low,Traçabilité incomplète,CNC-02,L1
2026-01-14T08:28:12.123362,PROD8898,rebut,7,low,Dimension hors tolérance,ASSEMBLY-01,L3
2026-01-14T19:56:12.123362,PROD4469,rebut,14,low,Fissure détectée,PRESS-01,L2
2026-01-14T20:17:12.123362,PROD7339,retouche,16,low,Ajustement dimensionnel,PRESS-01,L2
2026-01-14T20:41:12.123362,PROD4257,rebut,5,low,Bavure excessive,CNC-01,L1
2026-01-14T23:44:12.123362,PROD5051,rebut,4,low,Dimension hors tolérance,CNC-02,L1
2026-01-15T01:08:12.123362,PROD3992,retouche,17,medium,Ajustement dimensionnel,ASSEMBLY-01,L3
2026-01-15T02:45:12.123362,PROD5885,retouche,5,high,Reprise usinage,PRESS-01,L2
2026-01-15T05:39:12.123362,PROD2906,non_conformite,12,low,Documentation manquante,ASSEMBLY-01,L3
2026-01-15T06:44:12.123362,PROD6088,rebut,6,low,Rayure surface critique,CNC-01,L1
2026-01-15T19:40:12.123362,PROD7451,non_conformite,19,critical,Déviation procédure assemblage,PRESS-02,L2
2026-01-16T03:37:12.123362,PROD5026,retouche,6,low,Reprise usinage,CNC-02,L1
2026-01-16T03:42:12.123362,PROD9451,retouche,7,high,Ajustement dimensionnel,PRESS-02,L2
2026-01-16T05:11:12.123362,PROD1940,rebut,9,high,Contamination matière,PRESS-01,L2
2026-01-16T06:38:12.123362,PROD9340,rebut,15,low,Fissure détectée,CNC-01,L1
2026-01-16T08:53:12.123362,PROD8861,rebut,12,medium,Défaut d'aspect majeur,CNC-01,L1
2026-01-16T21:37:12.123362,PROD6402,retouche,10,medium,Ajustement dimensionnel,CNC-01,L1
2026-01-16T22:09:12.123362,PROD6820,rebut,5,medium,Bavure excessive,CNC-01,L1
2026-01-16T23:21:12.123362,PROD6972,rebut,3,medium,Dimension hors tolérance,PRESS-01,L2
2026-01-16T23:21:12.123362,PROD2443,retouche,12,medium,Retouche peinture,CNC-02,L1
2026-01-16T23:53:12.123362,PROD2110,retouche,2,medium,Ajustement dimensionnel,CNC-02,L1
2026-01-17T02:36:12.123362,PROD3585,non_conformite,16,low,Documentation manquante,CNC-01,L1
2026-01-17T02:51:12.123362,PROD4208,rebut,18,critical,Fissure détectée,ASSEMBLY-01,L3
2026-01-17T08:04:12.123362,PROD7078,rebut,9,low,Dimension hors tolérance,PRESS-01,L2
2026-01-17T18:46:12.123362,PROD5182,retouche,16,high,Reprise usinage,PRESS-02,L2
2026-01-17T18:51:12.123362,PROD6742,non_conformite,2,low,Paramètre machine hors plage,CNC-02,L1
2026-01-17T19:17:12.123362,PROD2154,sur_controle,4,high,Contrôle 100% lot suspect,CNC-01,L1
2026-01-17T20:02:12.123362,PROD7510,non_conformite,3,medium,Traçabilité incomplète,CNC-01,L1
2026-01-17T21:05:12.123362,PROD6532,sur_controle,4,medium,Inspection visuelle complète,ASSEMBLY-01,L3
2026-01-17T21:23:12.123362,PROD2217,rebut,2,high,Bavure excessive,CNC-01,L1
